Question,Answer
What are the working hours?,Core hours are 9am–3pm local time. Outside that you can flex as needed.
How many vacation days do we get?,25 days per year. Unused days roll over up to 10 days maximum.
What is the remote work policy?,Fully remote by default. Team meetups happen twice a year in person.
How do I submit an expense report?,Use the Expenses portal in Notion. Attach receipts. Approvals within 5 business days.
What is the parental leave policy?,16 weeks fully paid for primary caregiver. 8 weeks for secondary caregiver.
How do I request a software license?,Open a ticket in #it-requests on Slack with the tool name and business reason.
What is the performance review cycle?,Reviews happen every 6 months — June and December.
How are bonuses calculated?,Bonuses are 10–20% of base salary depending on company and individual performance.
What health insurance do we offer?,Full medical, dental, and vision through BlueCross. Premiums 100% covered for employee.
What is the onboarding process?,Week 1: setup and reading. Week 2: shadow your team lead. Week 3: first real tasks.
How do I escalate an HR issue?,Contact hr@company.com or the anonymous hotline at 1-800-555-0100.
Can I work from a different country?,Yes for up to 90 days per year. Notify HR and Finance 2 weeks in advance.
What equipment will I receive?,MacBook Pro 16-inch, external monitor, mechanical keyboard, and noise-cancelling headphones.
Is there a learning budget?,Yes — $2,000 per year for courses, books, and conferences.
How do I access the VPN?,Download Tailscale from the IT portal and authenticate with your company Google account.
